,—éŽ­Žs,0
936,1500,1522.0266666666666
937,1400,1553.3083333333334
938,1224,1387.23
939,1106,1160.7
940,1032,1073.6983095238095
941,1038,1088.1258333333333
942,1010,1127.0321666666669
943,968,1144.0766666666666
944,966,1085.6633333333334
945,923,1042.4466666666667
946,1042,1179.3233333333333
947,1372,1390.5577777777778
948,1602,1546.7
949,1796,1669.0175
950,1906,1794.2505317460318
951,1727,1706.8766666666668
952,1464,1447.4658333333334
953,1193,1243.5433333333333
954,1051,1001.1133333333333
955,829,867.4633333333334
956,728,743.5633333333334
957,715,685.5766666666667
958,807,869.4513333333333
959,1134,1351.5066666666667
960,1474,1500.6766666666667
961,1278,1428.51
962,1180,1248.7666666666667
963,1080,1135.7966666666666
964,1050,1118.2733333333333
965,994,1228.9566666666667
966,1019,1168.2733333333333
967,909,1006.9066666666666
968,960,1034.35
969,1000,1117.7366666666667
970,1156,1093.5833333333333
971,1455,1377.8566666666666
972,1652,1565.0266666666666
973,1738,1743.7566666666667
974,1853,1774.04
975,1776,1667.8766666666668
976,1527,1406.4458333333334
977,1277,1258.18
978,1074,1138.0258333333334
979,869,840.4236507936508
980,727,767.6866666666666
981,736,793.1793333333333
982,840,810.5994444444444
983,1203,1451.0833333333333
984,1472,1643.5566666666666
985,1355,1595.4833333333333
986,1168,1261.17
987,1090,1365.45
988,1068,1341.2966666666666
989,981,1240.0133333333333
990,972,1231.06
991,971,933.3833333333333
992,1035,1069.9833333333333
993,1058,996.31
994,1217,1229.5466666666666
995,1615,1521.4433333333334
996,1941,1618.8133333333333
997,2000,1770.1166666666666
998,1965,1813.4933333333333
999,1868,1669.4266666666667
1000,1538,1433.9544444444446
1001,1313,1258.7733333333333
1002,1055,1069.921111111111
1003,895,808.59
1004,761,724.5666666666667
1005,772,817.0367222222224
1006,890,985.5369444444445
1007,1237,1097.53
1008,1528,1560.4932857142855
1009,1405,1578.1488333333332
1010,1217,1546.9366666666667
1011,1174,1306.3766666666668
1012,1097,1163.695
1013,1114,1203.2566666666667
1014,1067,1234.1033333333332
1015,1051,1029.4033333333334
1016,1015,1069.7133333333334
1017,1012,1108.0933333333332
1018,1142,1233.02
1019,1402,1333.5466666666666
1020,1580,1638.55
1021,1758,1739.3111111111111
1022,1809,1812.1066666666666
1023,1673,1580.14
1024,1503,1483.9966666666667
1025,1271,1391.2766666666666
1026,1080,1044.2419444444445
1027,881,834.2397142857143
1028,759,785.14
1029,692,809.8033333333333
1030,747,1603.3447222222226
1031,916,1179.7383333333332
1032,1186,1436.7066666666667
1033,1338,1618.2986666666666
1034,1358,1219.2033333333334
1035,1320,1233.9166666666667
1036,1231,1147.3516666666667
1037,1208,1093.8466666666666
1038,1203,1135.81
1039,1178,1072.04
1040,1119,1281.6833333333334
1041,1065,958.91
1042,1187,1095.5833333333333
1043,1387,1391.0
1044,1466,1580.3233333333333
1045,1670,1798.1688888888887
1046,1887,1787.2233333333334
1047,1783,1587.9433333333334
1048,1676,1446.7041666666667
1049,1268,1306.9133333333334
1050,1169,1050.7283333333332
1051,1178,1030.71
1052,1028,705.7022222222222
1053,932,780.4244444444444
1054,923,885.9633333333334
1055,1114,1330.96
1056,1311,1683.3533333333332
1057,1464,1477.2269999999999
1058,1544,1894.4966666666667
1059,1465,1230.4533333333334
1060,1398,1250.93
1061,1367,1353.19
1062,1363,1165.1858333333332
1063,1247,1181.8
1064,1232,1134.3333333333333
1065,1241,1153.3866666666668
1066,1344,1126.5558333333333
1067,1620,1341.86
1068,1751,1521.714777777778
1069,1886,1658.7208333333333
1070,1985,1752.6138888888888
1071,1807,1659.0706666666667
1072,1543,1425.8033333333333
1073,1268,1195.9333333333334
1074,1067,953.5151904761904
1075,878,784.9566666666667
1076,743,723.4533333333334
1077,738,740.5634444444445
1078,891,833.8337500000001
1079,1267,1314.6083333333333
1080,1585,1525.3575
1081,1543,1452.6866666666667
1082,1359,1305.075
1083,1253,1282.6433333333334
1084,1146,1275.0733333333333
1085,1132,1202.0544444444445
1086,1100,1169.6033333333332
1087,1080,1064.4066666666668
1088,1028,1019.76
1089,1042,1068.97
1090,1187,1167.5666666666666
1091,1445,1561.45
1092,1628,1576.5794444444443
1093,1842,1698.4466666666667
1094,1926,1750.362222222222
1095,1795,1641.7866666666666
1096,1510,1459.7280555555553
1097,1279,1274.0133333333333
1098,1064,1006.6633333333333
1099,877,832.4033333333333
1100,763,749.972
1101,767,692.6766666666666
1102,871,819.18
1103,1262,2258.3966666666665
1104,1520,1498.8877777777777
1105,1465,1438.857
1106,1240,1298.7016666666666
1107,1192,1400.9366666666667
1108,1147,1194.0205555555556
1109,1133,1233.7966666666666
1110,1013,1208.97
1111,1029,1132.4933333333333
1112,992,997.2566666666667
1113,1021,1039.8833333333334
1114,1175,1097.4795833333333
1115,1449,1402.1833333333334
1116,1641,1608.7433333333333
1117,1812,1702.24
1118,1905,1758.0419444444442
1119,1789,1685.4833333333333
1120,1523,1467.7355555555557
1121,1305,1280.75
1122,1077,1015.16
1123,856,935.5133333333333
1124,750,722.0233333333333
1125,786,723.1827777777778
1126,886,835.96
1127,1296,1294.83
1128,1640,1670.4533333333334
1129,1562,1603.8233333333333
1130,1338,1477.3622380952381
1131,1272,1361.9558333333334
1132,1171,1150.51
1133,1167,1099.85
1134,1084,1061.0613888888888
1135,1039,987.18
1136,1011,1016.2533333333333
1137,1020,1022.0466666666666
1138,1153,1186.71
1139,1468,1407.4466666666667
1140,1678,1556.19
1141,1863,1697.7244444444445
1142,1943,1843.9887222222223
1143,1762,1726.4333333333334
1144,1526,1502.9293333333333
1145,1287,1250.9566666666667
1146,1069,1023.6466666666666
1147,861,801.0729365079366
1148,764,735.96
1149,733,916.46
1150,788,930.5366666666666
1151,1143,1328.5166666666667
1152,1445,1573.4366666666667
1153,1326,1399.8266666666666
1154,1146,1175.6233333333332
1155,1153,1160.3666666666666
1156,1170,1126.7933333333333
1157,1185,1117.3533333333332
