,Žl“úŽsŽs,0
975,283,267.4266666666667
976,210,234.05416666666667
977,152,181.5
978,102,110.06083333333333
979,84,94.88555555555556
980,81,88.58
981,102,134.42
982,192,163.36169444444442
983,340,329.4266666666667
984,353,333.10333333333335
985,256,310.56666666666666
986,193,222.17666666666668
987,196,211.76333333333332
988,158,185.70666666666668
989,139,189.49333333333334
990,161,185.47666666666666
991,152,174.12666666666667
992,134,180.165
993,195,183.88666666666666
994,270,290.4222222222222
995,353,126.55616666666666
996,384,361.62666666666667
997,393,379.73
998,359,324.6213333333333
999,290,292.1533333333333
1000,218,212.915
1001,164,162.284
1002,106,119.83222222222221
1003,92,88.53010317460317
1004,76,93.09
1005,113,120.98666666666666
1006,219,203.07600000000002
1007,347,303.9777777777778
1008,328,336.48333333333335
1009,256,290.95666666666665
1010,221,256.94
1011,167,207.88333333333333
1012,163,167.65333333333334
1013,142,173.72944444444445
1014,161,166.18766666666667
1015,148,148.30666666666667
1016,134,169.26305555555552
1017,174,179.18
1018,227,228.7178888888889
1019,278,259.7692619047619
1020,319,333.74666666666667
1021,365,350.87800793650786
1022,332,320.83466666666664
1023,271,273.39966666666663
1024,204,222.10666666666665
1025,175,159.93
1026,121,129.83999999999997
1027,92,92.51605555555558
1028,78,92.81333333333333
1029,90,105.44666666666667
1030,147,227.1786666666667
1031,234,318.08
1032,298,298.19666666666666
1033,301,283.13666666666666
1034,264,253.60666666666665
1035,221,247.72666666666666
1036,184,180.38666666666666
1037,168,148.8
1038,161,160.26600000000002
1039,166,160.45
1040,155,257.9633333333333
1041,191,194.58
1042,239,205.70944444444444
1043,264,248.82
1044,308,302.0233333333333
1045,353,347.04833333333335
1046,374,320.6413333333333
1047,316,284.5855555555556
1048,237,218.87888888888887
1049,183,172.01999999999998
1050,141,160.49333333333334
1051,130,99.10716666666669
1052,120,97.12666666666667
1053,127,134.42
1054,177,163.24341666666666
1055,229,318.49666666666667
1056,297,326.50666666666666
1057,313,273.28333333333336
1058,284,248.34
1059,247,194.23
1060,210,196.53833333333333
1061,203,471.93333333333334
1062,191,206.41333333333333
1063,169,237.85666666666665
1064,168,255.54333333333332
1065,196,230.58666666666667
1066,249,221.51333333333332
1067,311,258.68333333333334
1068,364,309.44555555555553
1069,382,332.76878571428574
1070,347,324.8433333333333
1071,281,275.70666666666665
1072,210,211.45666666666668
1073,151,148.71240476190476
